Team,Points,Percentage
Skoro Matfyzáci,65.71875,87.625
Nelétaví ptáci,62.5,83.33333333333333
Křivé ruce,55.90625,74.54166666666667
Nebreč,54.625,72.83333333333333
Dodame pozdeji,53.90625,71.875
Medvědi,52.5,70.0
Suicide Squad,51.5625,68.75
Chulimanga,50.71875,67.625
Kuráž,49.5,66.0
Bukvice,46.5,62.0
Komiksáci,39.5625,52.75
Kladivouni,38.84375,51.791666666666664
Amateri,35.0,46.666666666666664
SURUS,32.5625,43.416666666666664
Frizzante,28.625,38.166666666666664
S Peckou,25.09375,33.458333333333336
Potenciál,24.21875,32.291666666666664
Nepropadejte panice!,21.8125,29.083333333333332
chill crew,20.40625,27.208333333333332
Angry Birds,20.125,26.833333333333332
Tralalalala,18.6875,24.916666666666668
Banana Team,16.75,22.333333333333332
Přejetý Žabičky,15.34375,20.458333333333332
Anonymní tučňáci,13.375,17.833333333333332
Přešlap rukou,6.15625,8.208333333333334
